,num_cluster,Purity,AMI,ARI
0,3,0.6605900695610458,0.6866223404838901,0.549704067100528
1,4,0.856960102342688,0.7956728570315816,0.8175978133154824
2,5,0.8553609978412089,0.7579276829197666,0.7705122880145014
3,6,0.8631166546733829,0.7338878970185883,0.7093249490295765
4,7,0.8420884304789318,0.6739979013036003,0.6373512908296493
5,8,0.8583992963940194,0.6608305924311171,0.541761144474594
6,9,0.8494443111857359,0.6377355269516759,0.5203706395118711
7,10,0.8433677140801151,0.6179179976995185,0.5152723633195578
8,11,0.8375309826497161,0.599315790377317,0.5094496233758294
9,12,0.8370512512992724,0.5770268600065318,0.4330195634080584
10,13,0.8374510274246422,0.5679379306118799,0.41776352630203223
11,14,0.8353721915727192,0.5544139044349409,0.3973311078057828
12,15,0.8326537139202047,0.5356109663218417,0.35716681618731816
13,16,0.8342528184216839,0.5313413674372808,0.3491601791190559
14,17,0.8275365795154713,0.5074059854354019,0.29692540377627774
15,18,0.8248980570880307,0.49506614307599256,0.2825915135842331
16,19,0.8220996242104421,0.4838743020554127,0.26316914228079213
17,20,0.8141041017030463,0.476543516627071,0.2603793798645952
18,21,0.8276964899656193,0.4801562192168199,0.23882735345871536
19,22,0.8157831614295994,0.47494909289931087,0.24498030952596664
20,23,0.8084272807227952,0.4535134126632602,0.2135227084111863
21,24,0.8173023107060047,0.4611740354092947,0.21619846023822528
22,25,0.797313504437515,0.44030553019956536,0.20512804792546113
23,26,0.8045094746941712,0.4363907987401565,0.19482038929824955
24,27,0.7869193251779004,0.4246215079537489,0.18420449894457294
25,28,0.8040297433437276,0.4347102793827547,0.18312404813644717
26,29,0.8003518029903254,0.4280697695613956,0.17419892665005687
27,30,0.8023506836171744,0.42833592653993907,0.17289642032320177
28,31,0.7854001759014951,0.41076773415924617,0.15733755313238293
29,32,0.793315743183817,0.4185872120182205,0.16233023892733345
30,33,0.7750859518669545,0.3977823830043848,0.1464991148188826
31,34,0.7715679219637003,0.3930964384120061,0.14021272785584005
32,35,0.7853202206764212,0.40625079675444703,0.1469878685262422
33,36,0.7851603102262733,0.39638444346648255,0.136216175065557
34,37,0.7717278324138482,0.3839208484123056,0.12989961155950747
35,38,0.7848404893259775,0.3907784746176735,0.13053337389693667
36,39,0.7730071160150316,0.3861063223888465,0.1259004170433327
37,40,0.7852402654513473,0.38673007937637693,0.12373859290484036
38,41,0.7847605341009035,0.3886698571755261,0.1191550003891726
39,42,0.7754857279923243,0.3774204939269346,0.11562626238409948
40,43,0.7764451906932118,0.3765695427928359,0.11329978517076203
41,44,0.7830015191492764,0.38242439997112393,0.11228986813080032
42,45,0.774206444391141,0.37825681853174603,0.11094845569870747
43,46,0.7806828176221317,0.3783561685168428,0.11136284292284261
44,47,0.7789238026705045,0.37494106503421915,0.1088410884610126
45,48,0.7821220116734628,0.3801475636700801,0.10866185391556045
46,49,0.777964339969617,0.3771355984650935,0.1084665005093862
47,50,0.7775645638442472,0.3716442823544819,0.1045337455709349
48,51,0.7840409370752379,0.3769027452410164,0.1071085592805632
49,52,0.7704485488126649,0.3594222819454372,0.09671860618787353
50,53,0.7871591908531222,0.37430885064832475,0.1002351011387005
51,54,0.7766051011433597,0.36338844089845246,0.09710654289936739
52,55,0.7817222355480931,0.3699523860413379,0.09798343135292457
53,56,0.7840409370752379,0.36583831635939973,0.09312419189219667
54,57,0.7825217877988326,0.3678810471450261,0.0943124902926944
55,58,0.7719676980890702,0.35423778975133885,0.08905416957896704
56,59,0.7718877428639962,0.3530682271379038,0.08552964665943225
57,60,0.7796433996961701,0.36135021491688823,0.09001398630057894
58,61,0.7795634444710962,0.35897500692332635,0.09118448553806865
59,62,0.7670904293595586,0.3479843979326714,0.08230083972058524
60,63,0.7803629967218357,0.3572699012218632,0.0898559153941026
61,64,0.7777244742943952,0.3559160690877598,0.08454287487343669
62,65,0.7676501159350764,0.3470985943096149,0.08127264066322973
63,66,0.7646118173822659,0.33996573515139306,0.0791855181568047
64,67,0.7696489965619253,0.3449865658089837,0.07910100354910934
65,68,0.7559766530742784,0.3354341771155451,0.0757540535291373
66,69,0.7577356680259055,0.3337560433215004,0.07480292947890813
67,70,0.7728472055648836,0.3446422043057558,0.07689952107471332
